,0,1
1127,ngekeh,kekeh
1128,xlian,kalian
1129,b3,bertiga
1130,ihhh,ih
1131,lcu,lucu
1132,pait,pahit
1133,koplakkk,koplak
1134,kerass,keras
1135,yachhh,ya
1136,gokil,gila
1137,ngelihat,melihat
1138,ngelawak,melawak
1139,iiihhhhh,ih
1140,nyolotinnnn,menyolot
1141,beratttttttt,berat
1142,cantiikkkk,cantik
1143,hijaabbb,hijab
1144,sekalii,sekali
1145,smnagatin,menyemangati
1146,pakek,pakai
1147,kanapa,kenapa
1148,cans,cantik
1149,banhet,banget
1150,bgttttttt,banget
1151,blng,bilang
1152,mngasi,mengasih
1153,kmbang,kembang
1154,pg,pagi
1155,nie,ini
1156,pla,pula
1157,kw,kau
1158,blakon,berlakon
1159,sy,saya
1160,nmpk,nampak
1161,bngtzt,banget
1162,lucukkkkk,lucu
1163,sbelah,sebelah
1164,baek,baik
1165,ciusss,serius
1166,palinf,paling
1167,fav,favorit
1168,maak,mak
1169,ngakaaaakkk,mengakak
1170,gokill,gila
1171,kocakkkkkk,kocak
1172,ngekek,mengekek
1173,capee,cape
1174,pegangin,memegang
1175,nyender,menyandar
1176,bener,benar
1177,manjain,memanjakan
1178,peleotin,meleot
1179,bng,bang
1180,termurahhhh,termurah
1181,nyatakan,menyatakan
1182,graaatiiiis,gratis
1183,meriahh,meriah
1184,cantikkkm,cantik
1185,parahh,parah
1186,bingits,banget
1187,yuppss,ya
1188,nyindir,menyindir
1189,onoh,sono
1190,bnyk,banyak
1191,anakny,anaknya
1192,staf2nya,staf-stafnya
1193,begete,banget
1194,aduhh,aduh
1195,manteppp,mantap
1196,hati2,hati-hati
1197,jangan2,jangan-jangan
1198,kata2nya,kata-katanya
1199,ynk,sayang
1200,"nangis""",menangis-nangis
1201,"hati""",hati-hati
1202,"jangan""",jangan-jangan
1203,emank,memang
1204,cr,cara
1205,diemin,diamkan
1206,hancurin,menghancurkan
1207,ckp,cukup
1208,mgkn,mungkin
1209,ato,atau
1210,diapain,diapakan
1211,ms,masih
1212,haragain,menghargai
1213,cb,coba
1214,nyakitin,menyakiti
1215,jgn2,jangan-jangan
1216,sbaiknya,sebaiknya
1217,mngerti,mengerti
1218,blajar,belajar
1219,fakta2,fakta-fakta
1220,spt,seperti
1221,mnding,mending
1222,nilai2,nilai-nilai
1223,buka2,buka-buka
1224,nyinyirin,nyinyir
1225,pdhl,padahal
1226,pd,pada
1227,nyerang,menyerang
1228,hrs,harus
1229,mrk,mereka
1230,trima,terima
1231,ngomomg,mengomong
1232,mang,memang
1233,kbetulan,kebetulan
1234,orgtuanya,orang tuanya
1235,sbelum,sebelum
1236,ngamatin,mengamati
1237,ngintip,mengintip
1238,stelah,setelah
1239,sndiri,sendiri
1240,ngintilin,mengintil
1241,smnjak,semenjak
1242,trbukti,terbukti
